"genero","especie","nombre_comun","categoria"
"Ortalis","canicollis","Chaco-Chachalaca","LC"
"Penelope","obscura","Dusky-legged-Guan","LC"
"Penelope","superciliaris","Rusty-margined-Guan","LC"
"Crax","fasciolata","Bare-faced-Curassow","LC"
"Odontophorus","capueira","Spot-winged-Wood-quail","LC"
"Aramus","guarauna","Limpkin","LC"
"Pardirallus","nigricans","Blackish-Rail","LC"
"Pardirallus","sanguinolentus","Plumbeous-Rail","LC"
"Pardirallus","maculatus","Spotted-Rail","LC"
"Aramides","cajaneus","Grey-necked-Wood-rail","LC"
"Aramides","saracura","Slaty-breasted-Wood-rail","LC"
"Aramides","ypecaha","Giant-Wood-rail","LC"
"Porzana","albicollis","Ash-throated-Crake","LC"
"Porzana","flaviventer","Yellow-breasted-Crake","LC"
"Laterallus","leucopyrrhus","Red-and-white-Crake","LC"
"Laterallus","melanophaius","Rufous-sided-Crake","LC"
"Neocrex","erythrops","Paint-billed-Crake","LC"
"Gallinula","melanops","Spot-flanked-Gallinule","LC"
"Gallinula","chloropus","Common-Moorhen","LC"
"Porphyrio","flavirostris","Azure-Gallinule","LC"
"Porphyrio","martinicus","Yellow-legged-Gallinule","LC"
"Fulica","ardesiaca","Slate-coloured-Coot","LC"
"Fulica","armillata","Red-gartered-Coot","LC"
"Fulica","gigantea","Giant-Coot","LC"
"Fulica","leucoptera","White-winged-Coot","LC"
"Fulica","rufifrons","Red-fronted-Coot","LC"
"Heliornis","fulica","Sungrebe","LC"
"Cariama","cristata","Red-legged-Seriema","LC"
"Chunga","burmeisteri","Black-legged-Seriema","LC"
"Jacana","jacana","Wattled-Jacana","LC"
"Rostratula","semicollaris","South-American-Painted-snipe","LC"
"Haematopus","ater","Blackish-Oystercatcher","LC"
"Haematopus","leucopodus","Magellanic-Oystercatcher","LC"
"Haematopus","palliatus","American-Oystercatcher","LC"
"Recurvirostra","andina","Andean-Avocet","LC"
"Vanellus","cayanus","Pied-Lapwing","LC"
"Vanellus","chilensis","Southern-Lapwing","LC"
"Vanellus","resplendens","Andean-Lapwing","LC"
"Pluvialis","dominica","American-Golden-Plover","LC"
"Pluvialis","squatarola","Grey-Plover","LC"
"Charadrius","alticola","Puna-Plover","LC"
"Charadrius","collaris","Collared-Plover","LC"
"Charadrius","falklandicus","Two-banded-Plover","LC"
"Charadrius","modestus","Rufous-chested-Plover","LC"
"Charadrius","semipalmatus","Semipalmated-Plover","LC"
"Oreopholus","ruficollis","Tawny-throated-Dotterel","LC"
"Numenius","phaeopus","Whimbrel","LC"
"Bartramia","longicauda","Upland-Sandpiper","LC"
"Tringa","flavipes","Lesser-Yellowlegs","LC"
"Tringa","melanoleuca","Greater-Yellowlegs","LC"
